STU_ID,X1TXMTSCOR,X1PAREDU,X1SES,X1MTHINT,X1SCIINT,X2TXMTSCOR,X2PAREDU,X2BEHAVEIN,X2MTHINT_R,X2SCIINT,X3TGPAHIMTH,X3TGPAHISCI,X3TGPAACAD,X3TGPASTEM,X4X2SES,X5GPAALL,S1GOODGRADES,S1HRMHOMEWK,S1HRSHOMEWK,S1HROTHHOMWK,S1HRACTIVITY,S1HRTV,S1HRVIDEO,S1HRONLINE,S2LATESCH,S2ABSENT,S2WOHWDN,S2WOPAPER,S2WOBOOKS,S2SKIPCLASS,S2INSCHSUSP,S2OUTSCHSUSP,S2DISCIPLINE,S2EXPELLED,S2ARRESTED,S2JUVHOME,A1SCHCONTROL,A1MTHSCIFAIR,A1MSSUMMER,A1MSAFTERSCH,A1MSMENTOR,A1MSSPEAKER,A1MSFLDTRIP,A1MSPRGMS,A1HRTEACHERS,A1HRSTUDENT,A1TCHRABSENT,A1PRNTINV,A1UNPREP,A1HEALTH,A1RESOURCES,C1PLANPARENT,C1SIGNOFF
27174.0,48.8058,5.0,0.61,-1.33,1.0,40.7721,6.0,0.74,-0.74,-7.0,2.5,3.0,2.0,2.0,0.9417,2,2.0,2.0,3.0,1.0,6.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,5.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0
27177.0,-8.0,-8.0,-8.0,-8.0,-8.0,54.0607,1.0,1.21,2.17,1.44,4.0,3.5,4.0,3.5,-0.9595,3,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,1.0,1.0
27180.0,-8.0,-8.0,-8.0,-8.0,-8.0,54.288,2.0,0.25,-9.0,-9.0,2.5,3.0,3.0,3.0,-0.2597,2,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,-8.0,-8.0
27181.0,52.1077,-8.0,-0.3219,1.34,-0.67,46.3921,2.0,0.39,0.71,1.71,1.5,2.5,2.5,2.0,-0.5635,0,1.0,1.0,1.0,2.0,6.0,4.0,5.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-7.0,-7.0
27182.0,40.6445,3.0,-0.2322,-0.99,-1.93,41.6651,2.0,0.56,-0.2,-1.57,1.0,2.0,1.5,1.0,-0.5178,0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,2.0,3.0,3.0,2.0,3.0,1.0,0.0
27184.0,46.7019,4.0,0.7463,0.19,0.16,42.5798,5.0,-0.58,-0.21,0.61,3.0,3.0,2.5,2.5,0.6569,1,1.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,4.0,2.0,2.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-7.0,-7.0
27187.0,42.5354,3.0,-0.8546,0.19,0.16,44.3166,4.0,-0.6,0.84,0.7,2.5,2.0,2.5,2.5,-0.2621,0,1.0,1.0,1.0,2.0,6.0,6.0,5.0,6.0,4.0,2.0,4.0,2.0,2.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0
27189.0,52.6622,-8.0,0.4815,-0.18,-0.28,54.3877,4.0,-0.73,-0.99,-0.52,3.5,3.0,3.0,3.0,0.7912,1,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,4.0,2.0,3.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,1.0,1.0
27190.0,64.725,7.0,1.9676,0.19,0.09,67.1786,7.0,-0.65,-0.2,-0.4,1.5,3.0,3.0,3.0,0.8961,2,2.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0
27191.0,45.6612,7.0,2.082,-1.38,0.87,53.5513,7.0,-0.63,0.44,-0.09,3.0,3.0,3.0,3.0,1.5291,3,1.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,3.0,4.0,1.0,2.0,2.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,10.0,1.0,1.0,2.0,1.0,1.0,-7.0,-7.0
27194.0,66.4967,4.0,0.2058,0.17,0.95,77.1523,5.0,-0.47,1.52,1.44,3.0,3.0,3.5,3.5,0.4131,2,2.0,1.0,1.0,1.0,5.0,3.0,1.0,4.0,4.0,3.0,4.0,1.0,1.0,2.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,21.0,5.0,2.0,3.0,3.0,2.0,2.0,1.0,0.0
27197.0,51.1621,4.0,1.1448,-0.16,0.16,43.8406,5.0,0.52,-0.21,-0.02,3.0,3.0,3.0,3.0,0.381,3,1.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,12.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0
27198.0,47.2671,-8.0,-0.2316,1.72,0.54,37.6426,3.0,0.89,0.05,0.72,-8.0,-8.0,-8.0,-8.0,-0.6243,1,1.0,2.0,2.0,3.0,1.0,4.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,1.0,0.0
27199.0,-8.0,-8.0,-8.0,-8.0,-8.0,52.8129,4.0,0.37,-0.6,0.34,2.0,3.0,3.0,3.0,0.3023,2,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,-9.0,-9.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
