STU_ID,X1TXMTSCOR,X1PAREDU,X1SES,X1MTHINT,X1SCIINT,X2TXMTSCOR,X2PAREDU,X2BEHAVEIN,X2MTHINT_R,X2SCIINT,X3TGPAHIMTH,X3TGPAHISCI,X3TGPAACAD,X3TGPASTEM,X4X2SES,X5GPAALL,S1GOODGRADES,S1HRMHOMEWK,S1HRSHOMEWK,S1HROTHHOMWK,S1HRACTIVITY,S1HRTV,S1HRVIDEO,S1HRONLINE,S2LATESCH,S2ABSENT,S2WOHWDN,S2WOPAPER,S2WOBOOKS,S2SKIPCLASS,S2INSCHSUSP,S2OUTSCHSUSP,S2DISCIPLINE,S2EXPELLED,S2ARRESTED,S2JUVHOME,A1SCHCONTROL,A1MTHSCIFAIR,A1MSSUMMER,A1MSAFTERSCH,A1MSMENTOR,A1MSSPEAKER,A1MSFLDTRIP,A1MSPRGMS,A1HRTEACHERS,A1HRSTUDENT,A1TCHRABSENT,A1PRNTINV,A1UNPREP,A1HEALTH,A1RESOURCES,C1PLANPARENT,C1SIGNOFF
25718,49.3511,2,-0.5436,-1.01,0.87,-8.0,2,-8.0,-8.0,-8.0,2.5,3.0,2.5,2.5,-0.8295,0,2,2,2,2,2,4,1,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,0,1,1,0,1,1,0,2,3,2,3,3,1,2,1,1
25720,49.1507,-8,0.353,-1.01,0.5,36.6128,4,0.87,-0.2,0.61,2.5,1.5,2.0,2.0,-0.0492,0,2,1,1,2,3,3,1,4,1,2,2,1,1,1,1,-7,-7,-7,-7,-7,1,0,0,1,1,1,1,1,5,10,2,1,3,1,2,1,1
25722,47.3909,4,0.0747,-9.0,-7.0,46.5828,5,-0.21,-7.0,0.34,1.0,1.5,1.5,1.5,-0.33,0,2,3,-7,2,3,1,1,4,1,3,2,1,2,2,2,-7,-7,-7,-7,-7,1,0,0,1,0,1,0,1,4,6,1,4,4,3,3,1,1
25723,61.4678,3,0.471,-1.01,0.16,51.5981,4,0.24,-7.0,-7.0,1.0,1.5,2.0,1.5,0.0722,0,2,2,1,2,2,1,1,1,2,3,2,1,1,2,1,-7,-7,-7,-7,-7,1,0,1,0,0,1,1,1,7,3,1,2,1,1,1,-8,-8
25724,44.5424,5,0.8275,-1.33,1.27,52.5382,6,1.06,1.36,1.71,4.0,3.5,3.5,3.5,0.9653,1,2,2,2,2,5,1,1,1,1,2,1,1,1,1,1,-7,-7,-7,-7,-7,1,1,1,0,0,1,0,0,5,5,2,4,3,2,2,1,1
25725,51.8598,4,0.3362,-0.66,0.16,47.9186,5,0.73,-0.6,-0.4,3.5,4.0,3.5,3.5,0.3293,2,2,1,2,3,1,2,1,2,1,3,2,1,1,1,1,-7,-7,-7,-7,-7,2,0,1,1,0,0,1,1,3,3,1,2,1,1,3,1,1
25727,49.5371,4,0.598,1.32,0.16,47.7016,5,0.89,0.6,-0.76,2.5,2.5,3.5,3.5,0.1443,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,-7,-7,-7,-7,-7,1,1,1,1,1,1,1,1,10,2,1,2,2,2,1,1,0
25728,57.6941,2,-0.7259,0.12,0.15,54.3367,2,0.87,-0.6,-7.0,2.5,4.0,3.5,3.5,-0.9816,2,1,2,2,2,1,2,2,2,1,2,2,1,1,1,1,-7,-7,-7,-7,-7,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1
25729,50.7317,2,-0.2985,-0.16,0.99,55.8156,2,1.21,0.83,1.44,2.5,3.0,3.0,2.5,-0.6439,1,1,2,1,2,3,3,1,3,1,1,1,1,1,1,1,-7,-7,-7,-7,-7,1,0,0,0,0,0,0,0,6,2,2,2,2,2,2,1,1
25730,55.5251,5,1.2607,0.57,-1.38,57.1515,6,-0.08,-0.31,-0.04,2.0,2.0,2.5,2.5,1.2098,3,2,1,1,1,2,2,1,1,2,2,3,2,2,1,1,-7,-7,-7,-7,-7,2,0,0,1,0,0,0,0,10,2,1,1,1,1,2,-7,-7
25732,57.291,-8,0.1951,1.69,1.38,-8.0,-8,-8.0,-8.0,-8.0,1.5,2.0,2.5,2.0,-8.0,0,1,1,1,1,1,2,6,6,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,0,0,1,1,0,1,0,10,10,1,2,3,1,1,1,0
25740,54.811,2,-0.1215,1.32,0.87,39.4843,2,0.28,-7.0,-7.0,2.0,2.5,3.0,2.5,0.1826,1,1,1,2,1,2,3,1,6,2,3,2,2,1,1,1,-7,-7,-7,-7,-7,1,1,1,0,1,1,1,1,6,5,2,2,2,2,1,1,0
25743,49.4202,4,1.2962,-0.54,-0.67,56.3089,5,0.87,-0.6,1.44,2.5,4.0,3.0,2.5,1.3445,2,1,2,1,4,2,1,-9,2,1,2,2,1,1,1,1,-7,-7,-7,-7,-7,2,1,1,1,0,0,1,1,5,2,2,1,2,1,1,1,0
25744,65.2139,4,0.2563,-9.0,-7.0,70.1714,5,-0.59,-7.0,-0.4,3.0,3.0,3.0,3.0,0.4917,2,1,-9,-7,4,1,1,1,4,3,1,2,1,1,5,1,-7,-7,-7,-7,-7,1,1,1,0,0,0,1,0,-9,-9,1,1,1,2,2,0,-7
25745,54.342,-8,0.3806,1.23,0.54,53.308,5,-2.41,0.86,-7.0,4.0,3.5,3.5,4.0,-0.3706,2,1,2,1,2,3,3,1,2,5,5,4,4,3,2,1,-7,-7,-7,-7,-7,1,1,1,1,0,1,1,1,15,4,1,2,2,1,2,-8,-8
25748,36.654,1,-1.0067,0.19,0.16,48.0758,5,-0.5,-7.0,-7.0,2.0,3.5,3.0,2.5,-0.6545,0,1,1,2,2,2,3,1,1,1,3,1,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,10,1,4,4,2,4,1,0
25749,43.4566,2,-0.6665,0.19,-0.54,55.9688,2,0.53,1.13,-0.83,3.5,2.0,3.0,2.5,-0.4234,1,1,2,1,1,3,2,2,4,3,2,2,1,1,1,1,-7,-7,-7,-7,-7,1,1,1,0,1,0,1,1,21,5,2,3,3,2,2,1,0
25753,57.6023,3,0.0497,-0.71,1.38,53.0337,4,-1.2,-0.59,0.69,3.0,3.5,3.0,3.0,0.3178,1,2,1,1,1,6,6,2,4,4,3,2,5,2,1,1,-7,-7,-7,-7,-7,1,0,1,0,0,0,1,0,10,1,2,4,2,3,3,1,0
25754,58.4085,-8,0.005,-1.31,0.49,61.8977,4,0.37,-1.39,0.65,2.5,2.5,2.5,2.5,0.6736,0,1,2,2,3,1,2,3,2,1,2,3,1,2,1,1,-7,-7,-7,-7,-7,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-7,-7
25756,70.2446,4,0.3891,0.49,0.16,66.1446,5,0.53,-0.59,0.65,2.0,3.0,3.5,3.5,0.2926,3,1,2,1,2,2,2,1,2,3,2,2,1,1,1,1,-7,-7,-7,-7,-7,1,1,1,0,1,1,0,1,15,2,1,1,1,1,2,-7,-7
25757,-8.0,-8,-8.0,-8.0,-8.0,39.3959,1,0.74,-7.0,-7.0,4.0,4.0,4.0,3.5,-1.4442,3,-8,-8,-8,-8,-8,-8,-8,-8,2,3,1,1,1,1,1,-7,-7,-7,-7,-7,1,0,1,1,1,0,0,0,6,2,2,3,3,3,4,0,-7
25760,42.9771,4,0.0799,-1.31,-7.0,50.1139,6,0.1,-0.45,1.44,1.5,1.5,2.5,2.0,1.0256,0,2,1,-7,2,2,1,1,2,2,3,3,2,1,1,1,-7,-7,-7,-7,-7,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-8,-8
25761,39.9784,4,0.1172,-1.01,0.54,48.5121,5,0.57,-7.0,-7.0,2.0,2.0,2.5,2.0,-0.1593,3,1,1,2,2,4,1,1,2,3,3,1,1,1,1,1,-7,-7,-7,-7,-7,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,0
25763,54.6208,-8,1.1397,0.96,-0.56,62.0423,4,0.74,0.73,-1.19,3.5,3.5,3.5,3.5,0.672,3,1,1,2,3,3,2,1,3,2,3,1,1,1,1,1,-7,-7,-7,-7,-7,2,0,0,1,0,1,1,1,5,5,1,1,1,1,2,1,0
25764,54.6665,3,-0.3733,1.69,-2.26,64.7913,4,0.28,1.75,-2.24,3.5,2.0,3.0,2.5,-0.0583,2,1,1,1,1,4,6,6,6,1,2,2,2,2,1,1,-7,-7,-7,-7,-7,2,1,1,0,1,0,1,1,20,2,1,1,3,1,1,1,1
25766,50.6738,2,-0.3746,-1.68,-7.0,41.3095,2,-0.43,-1.24,-0.45,3.0,3.0,3.0,3.0,-0.1173,0,2,2,-7,3,2,2,1,1,5,4,2,1,2,1,1,-7,-7,-7,-7,-7,2,1,1,1,0,1,1,1,10,2,3,1,1,1,3,-7,-7
25767,52.4258,5,1.1622,-7.0,-0.23,52.988,6,0.05,-7.0,-0.45,2.5,3.0,3.5,3.0,1.1879,1,2,-7,1,1,2,4,1,2,2,3,3,1,1,2,1,-7,-7,-7,-7,-7,1,0,0,0,0,0,1,1,5,2,2,3,2,1,2,1,1
25769,51.9707,4,0.8856,-0.6,1.34,54.9387,5,0.51,-0.6,-1.93,2.5,2.5,3.5,3.0,1.0191,1,1,1,2,3,2,1,1,2,1,2,4,1,1,1,1,-7,-7,-7,-7,-7,2,0,0,0,0,0,0,0,10,2,1,1,1,1,2,0,-7
25770,48.8534,2,-0.6504,-1.56,1.71,42.5771,4,0.89,-1.64,1.71,2.0,3.0,3.0,3.0,-0.3835,3,1,2,2,3,5,4,1,1,2,2,1,1,1,1,1,-7,-7,-7,-7,-7,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1
25771,60.1773,7,1.8929,0.55,-7.0,63.2117,7,-2.09,2.17,-7.0,3.0,3.5,3.5,3.5,1.4442,1,1,2,-7,2,3,1,3,4,5,5,4,4,3,1,1,-7,-7,-7,-7,-7,1,1,0,1,0,1,1,1,10,3,2,2,2,1,1,1,0
25773,48.0422,-8,-0.5006,-7.0,-7.0,-8.0,-8,-8.0,-8.0,-8.0,-9.0,1.0,0.5,0.5,-8.0,0,2,-7,-7,2,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,0,1,1,1,0,0,10,5,2,3,2,2,1,1,1
25776,60.7455,-8,0.9811,0.49,1.38,61.7605,7,0.89,-0.35,-9.0,1.0,2.5,2.5,2.0,1.4026,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,-7,-7,-7,-7,-7,2,0,0,1,1,1,0,1,15,4,1,2,2,1,1,-7,-7
25778,45.3469,-8,0.5099,-2.16,0.56,62.7399,1,-0.5,0.98,1.44,2.5,2.0,2.5,2.5,-1.1404,1,1,2,2,2,2,1,1,1,2,3,3,3,2,1,1,-7,-7,-7,-7,-7,2,0,1,1,0,1,1,1,5,2,2,2,3,2,3,-7,-7
25780,64.5823,7,1.0656,0.19,-7.0,65.3389,7,0.55,-0.21,-7.0,2.5,4.0,3.5,3.5,1.0085,3,1,1,-7,1,1,1,1,4,2,3,2,1,1,1,1,-7,-7,-7,-7,-7,1,1,0,1,1,1,0,1,30,15,1,3,3,1,3,1,0
25782,77.2145,7,1.9489,0.55,-7.0,68.6151,7,0.3,-0.08,1.71,4.0,4.0,4.0,4.0,1.4528,3,1,1,-7,2,3,1,1,1,2,2,1,2,1,2,1,-7,-7,-7,-7,-7,1,0,1,1,1,0,0,1,-9,-9,1,2,2,1,1,1,1
25783,53.5736,7,0.8442,-2.16,-1.03,-8.0,-8,-8.0,-8.0,-8.0,2.0,2.0,2.5,2.5,-8.0,2,3,1,1,2,1,4,1,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,0,0,0,0,1,1,1,2,2,2,1,2,1,1,1,1
25785,46.7581,1,-1.0635,-7.0,0.54,54.4607,1,1.06,-7.0,-0.04,4.0,4.0,4.0,3.5,-0.5897,2,1,-7,1,2,2,2,1,4,1,2,1,1,1,1,1,-7,-7,-7,-7,-7,1,0,0,0,1,1,0,1,10,10,2,4,3,1,1,1,1
25787,56.9895,5,0.7814,-0.54,0.54,42.8617,6,0.36,-0.6,-0.04,1.5,3.0,2.5,2.0,0.5704,1,1,1,2,3,5,2,1,2,4,2,2,1,1,1,1,-7,-7,-7,-7,-7,1,0,0,1,0,0,0,1,10,5,2,2,3,2,2,-7,-7
